"manage.description","","manage your server using the Ardent dashboard","gérer votre serveur en utilisant le tableau de bord d'Ardent"
"message.description","","message users - for bot developers only :)","envoie un message à un utilisateur- pour les devs seulement :)"
"mute.description","","mute users for a specified period of time","mute des utilisateurs pour une certaine période de temps"
"prefix.description","","see, add or remove a prefix","voir, ajouter ou enlever un prefix"
"unmute.description","","unmute users in your server","unmute des utilisateurs sur le serveur"
"2018.description","","learn about Ardent","à propos d'Ardent"
"invite.description","","invite Ardent to your server!","inviter Ardent sur votre serveur!"
"patreon.description","","help support our monthly hosting costs <3","aidez nous financer nos coûts mensuels d'hébergement"
"status.description","","see realtime statistics about the bot","voir les statistiques en temps réel du bot"
"suggest.description","","suggest something to the Ardent team!","suggérer quelque chose à l'équipe d'Ardent!"
"support.description","","get support - join the Ardent server!","obtenir de l'aide - rejoingnez le serveur d'Ardent!"
"website.description","","get the url for Ardent's website!","obtenir l'URL pour le site d'Ardent!"
"coinflip.description","","let chance decide!","laissons la chance décider!"
"8ball.description","","need an answer to a question? can't decide? ask the Ardent magic 8-ball","vous avez besoin d'une réponse? indécis ? demandez à la boule magique d'Ardent"
"fml.description","","having a bad day or want to laugh at someone else's expense?","vous avez eu une mauvaise journée ou vous voulez rire de quelqu'un ?"
"fortune.description","","get one of those classic unix fortunes!","prenez un de ces cookie de la fortune!"
"gif.description","","shows you a random gif from Giphy","montre un gif aléatoire de Giphy"
"nick.description","","give yourself a nickname. functions exactly the same as /nick on Android","vous donne un surnom. fonctionne comme un /nick"
"nickme.description","","let Ardent give you a cool new randomly-generated nickname!","laissez Ardent vous donner un surnom cool et généré aléatoirement!"
"random.description","","get a random number or option","avoir un nombre ou un choix aléatoire"
"roll.description","","roll a die","lancer un dé"
"translate.description","","translate what you want to say to a different language!","traduire ce que vous avez à dire dans une autre langue!"
"urban.description","","get word definitions from the Urban Dictionary!","des définitions de mots du Dictionnaire Urban!"
"daily.description","","get a daily stipend of between 20 and $500 Ardent currency","obtenir un salaire mensuel compris entre 20 et 500$ monnaie Ardent"
"divorce.description","","your marriage wasn't all you dreamed it would be?","votre mariage n'était pas à la hauteur de vos rêves?"
"marry.description","","marry the discord user of your dreams!","marriez vous à l'utilisateur Discord de vos rêves!"
"profile.description","","see a user's profile","voir le profil d'un utilisateur"
"top.description","","see who has the most money in the Ardent database","voir qui a le plus d'argent dans la base de données d'Ardent"
"musiclibrary.description","","reset, or play from your personal music library","réinitialiser, ou jouer depuis votre propre bibliothèque musicale"
"playlist.description","","create, delete, or play from your saved playlists","créez, supprimez, ou jouez depuis vos playlists sauvegardées"
"clearqueue.description","","clears all songs from the queue","effacer toutes les musiques de la queue"
"goto.description","","use this command to go to a certain point in the currently playing track","utilisez cette commande pour aller à un certain endroit de la musque jouée"
"pause.description","","pauses the music player","met en pause le lecteur musique"
"play.description","","play songs, playlists, or your personal music library!","jouez des musiques, playlists, ou votre propre bibliothèque de musique!"
"playing.description","","shows information about the currently playing track","voir les information sur la musique jouée"
"queue.description","","shows information about the current queue","voir les informations sur la file d'attente actuelle"
"removefrom.description","","remove all the tracks from the mentioned user or users","enlève toute les musiques de ou des utilisateur(s) mentionné(s)"
"repeat.description","","repeat the track that's currently playing","répéter le morceau joué actuellement"
"resume.description","","resumes the music player","remet en route le lecteur de musique"
"save.description","","save the currently playing track to your music library","sauvegarde la musique jouée actuellement dans votre bibliothèque musicale"
"skip.description","","skips the currently playing track","saute le morceau joué actuellement"
"songurl.description","","gets the link for the currently playing track!","obtenir le lien pour le morceau joué actuellement!"
"stop.description","","stop the music player and remove the queue","arrête le lecteur et efface la file d'attente"
"volume.description","","see and change the volume of the player","voir et changer le volume du lecteur"
"getid.description","","get the id of a mentioned role, text channel, or user!","obtenir l'id du rôle/salon/utilisateur mentionné!"
"help.description","","get command help","obtenir l'aide pour les commandes"
"online.description","","see online/offline statistics about other users or see who's online!","voir les statistiques en ligne/déconnecté sur d'autre utilisateurs ou voir qui est connecté!"
"ping.description","","get Ardent's ping","ping Ardent"
"roleinfo.description","","view useful information about roles in this server","voir des informations utiles à propos des rôles sur ce serveur"
"serverinfo.description","","view basic information about this server","voir les informations de ce serveur"
"userinfo.description","","view cool information about your friends","voir des trucs cool sur vos amis"
"userlog.description","","see a list of users' messages that Ardent has logged in channels that you and the user have access to","Voir une liste de messages que Ardent a stocké dans les salons auxquels vous et l'utilisateur avez accès"
"accept.description","","accept an invitation to a game","accepter une invitation pour un jeu"
"cancel.description","","cancel a game in lobby","annuler un jeu dans le lobby"
"decline.description","","decline a pending game invite","décliner une invitation pour un jeu"
"start.description","","manually start a game","commencer une partie manuellement"
"gameinvite.description","","invite people to your game!","invitez des gens à votre jeu!"
"gamelist.description","","display all currently running games","affiche toutes les parties en cours"
"join.description","","join a game in lobby","rejoindre le lobby d'un jeu"
"leave.description","","leave a game you're currently queued for","quitter un jeu pour lequel vous êtes actuellement en attente"
"bet.description","","bet some money - will you be lucky?","parier un peu d'argent - serez-vous chanceux ?"
"blackjack.description","","start a game of blackjack - inside Discord!","commencer une partie de blackjack - sur Discord !"
"connect4.description","","play connect 4 - inside Discord!","jouer une partie de puissance4 - sur Discord !"
"slots.description","","start slots games!","commencer une partie de machine à sous!"
"tictactoe.description","","start a game of Tic Tac Toe - inside Discord!","commencer une partie de Morpion - sur Discord !"
"trivia.description","","start a game of trivia","commencer une partie de trivial"
"adminrole.arguments.set","set the admin role, argument","set","regler"
"adminrole.arguments.set.description","","set the Ardent admin role in your server","choisir le rôle qu'Ardent va reconnaître comme admin"
"adminrole.arguments.remove","","remove","enlever"
"adminrole.arguments.remove.description","","removes the currently set role from being the admin role","enlève le rôle actuel réglé en tant qu'admin"
"adminrole.arguments.audit","","audit","voir"
"adminrole.arguments.audit.description","","see what's set as the admin role (and who has that role)","voir quel est le rôle mis en tant qu'admin (et qui a ce rôle)"
"trivia.arguments.solo","","solo","solo"
"trivia.arguments.solo.description","","start a solo trivia game","commencer une partie solo de trivial"
"trivia.arguments.multi","","multiplayer","multijoueur"
"trivia.arguments.multi.description","","start a multiplayer trivia game","commencer une partie multijoueur de trivial"
"top.arguments.server","","server","serveur"
"top.arguments.server.description","","compare the top earners in your server","comparer ceux qui ont les meilleurs revenus sur votre serveur"
"top.arguments.all","","all","tout"
"top.arguments.all.description","","compare the top earners out of all Ardent users!","comparer ceux qui ont les meilleurs revenus parmi tous les utilisateurs d'Ardent!"
"profile.arguments.help","","help","aide"
"profile.arguments.help.description","","see how to edit your profile","voir comment éditer votre profil"
"online.arguments.stats","","stats","stats"
"online.arguments.stats.description","","see online/offline statistics about a member. if no user is mentioned, your own stats will be displayed","voir les statistiques en ligne/déconnecté d'un membre. Si aucun utilisateur n'est mentionné, ce seront vos stats qui seront affichées"
"online.arguments.server","","server","serveur"
"online.arguments.server.description","","see status statistics about members in this server. if /online server admins is specified, only their statistics will be shown, otherwise the server's will.","see status statistics about members in this server. if /online server admins is specified, only their statistics will be shown, otherwise the server's will."
"online.arguments.types","","types","types"
"online.arguments.types.description","","see the possible Discord statuses","voir les différents statuts Discord possible"
"online.arguments.stats.readable","online.arguments.stats.readable
","stats @User","stats @Utilisateur"
"disablecommand.arguments.add","","add","ajouter"
"disablecommand.arguments.add.readable","","add [command]","ajouter [commande]"
"disablecommand.arguments.add.description","","add a command to the disabled commands list","ajouter une commande à la liste des commande désactivées"
"disablecommand.arguments.remove","","remove","enlever"
"disablecommand.arguments.remove.readable","","remove [command]","enlever [commande]"
"disablecommand.arguments.remove.description","","remove a command from the disabled commands list","enlever une commande de la liste des commande désactivées"
"disablecommand.arguments.list","","list","liste"
"disablecommand.arguments.list.description","","list all the currently disabled commands in this server","voir la liste de toutes les commandes désactivées sur ce serveur"
"mute.arguments.list","","list","liste"
"mute.arguments.list.description","","list all current mutes","montre les mutes actuels"
"mute.arguments.removerole","","removerole","enleverrole"
"mute.arguments.removerole.description","","remove the set mute role","supprime le rôle qui mute les personnes"
"mute.arguments.user.readable",""," @User time","@Utilisateur temps"
"mute.arguments.user.description","","mention the user you want to mute and the time to mute for: Time modifiers: d (days), h (hours), m (minutes)","mentionnez l'utilisateur que vous voulez mute et puis la durée: unité de temps: d (jours), h (heures), m (minutes)"
"leavemessage.arguments.params","","params","params"
"leavemessage.arguments.params.description","","see what special parameters you can use in your leave message!","voir quels paramètres spéciaux vous pouvez utiliser dans vos messages de départ!"
"leavemessage.arguments.set","","set","regler"
"leavemessage.arguments.set.readable","","set [message]","regler [message]"
"leavemessage.arguments.set.description","","set the leave message.","régler le message de départ."
"leavemessage.arguments.removechannel","","remove channel","enlever le salon"
"leavemessage.arguments.removechannel.description","","remove the set leave message channel","supprimer le message de départ enregistré"
"leavemessage.arguments.view","","view","voir"
"leavemessage.arguments.view.description","","view the current message parameters","voir le message actuel paramétré"
"leavemessage.arguments.remove","","remove message","enlever message"
"leavemessage.arguments.remove.description","","remove the set leave message","enlève le message de départ"
"leavemessage.arguments.channel","","channel","salon"
"leavemessage.arguments.channel.readable","","channel [mentioned channel or name]","canal [canal mentionné ou nom]"
"leavemessage.arguments.channel.description","","set the channel where you want leave messages to be sent","choisir le channel où vous voulez envoyer le message de départ"
"disablemodule.arguments.add","","add","ajouter"
"disablemodule.arguments.add.readable","","add [module]","ajouter [module]"
"disablemodule.arguments.add.description","","add a module to the disabled modules list","ajouter un module à la liste des modules désactivés"
"disablemodule.arguments.remove","","remove","retirer"
"disablemodule.arguments.remove.readable","","remove [module]","retirer [module]"
"disablemodule.arguments.remove.description","","remove a module from the disabled commands list","retirer un module de la liste des modules désactivés"
"disablemodule.arguments.list","","list","liste"
"disablemodule.arguments.list.description","","list all the currently disabled modules in this server","voir la liste de tous les modules désactivés sur ce serveur"
"defaultrole.arguments.view","","view","view"
"defaultrole.arguments.view.description","","view the currently-set default role and how many people have it","view the currently-set default role and how many people have it"
"defaultrole.arguments.set","","set","set"
"defaultrole.arguments.set.readable","","set [role name or mention]","set [role name or mention]"
"defaultrole.arguments.set.description","","set the default role for this server","définir le rôle par défaut pour ce serveur"
"defaultrole.arguments.remove","","remove","retirer"
"defaultrole.arguments.remove.description","","remove the set default role","retirer le rôle par défaut"
"prefix.arguments.add","","add","ajouter"
"prefix.arguments.add.readable","","add [prefix name]","add [prefix name]"
"prefix.arguments.add.description","","add a new prefix for Ardent","ajouter un nouveau préfixe pour Ardent"
"prefix.arguments.remove","","remove","retirer"
"prefix.arguments.remove.readable","","remove [existing prefix]","retirer [préfixe existant]"
"prefix.arguments.remove.description","","remove an existing prefix for Ardent","retirer un préfixe existant pour Ardent"
"prefix.arguments.list","","list","liste"
"prefix.arguments.list.description","","list all current Ardent prefixes for this server","affiche la liste de tous les préfixes d'Ardent pour ce serveur"
"announce.arguments.params","","params","paramètres"
"announce.arguments.params.description","","get a list of parameters you can use when creating announcements","obtenir une liste des paramètres, que vous pouvez utiliser lorsque vous créez des annonces"
"announce.arguments.create","","create","créer"
"announce.arguments.create.description","","create a new announcement","créer une nouvelle annonce"
"announce.arguments.edit","","edit","modifier"
"announce.arguments.edit.readable","","edit [number]","modifier [nombre]"
"announce.arguments.edit.description","","edit an existing announcement. number comes from /announce list","edit an existing announcement. number comes from /announce list"
"announce.arguments.remove","","remove","remove"
"announce.arguments.remove.readable","","remove [number]","retirer [nombre]"
"announce.arguments.remove.description","","remove an existing announcement","supprimer une annonce existante"
"announce.arguments.list","","list","list"
"announce.arguments.list.description","","see a list of active announcements in this server","voir la liste des annonces actives sur ce serveur"
"announce.arguments.info","","info","info"
"announce.arguments.info.readable","","info [number]","info [number]"
"announce.arguments.info.description","","view detailed information about a specific announcement","afficher des informations détaillées d'une annonce spécifique"
"announce.arguments.trigger","","trigger","trigger"
"announce.arguments.trigger.readable","","trigger [number]","trigger [number]"
"announce.arguments.trigger.description","","send the specified announcement now","envoyer l'annonce spécifiée maintenant"
"joinmessage.arguments.params","","params","params"
"joinmessage.arguments.params.description","","see what special parameters you can use in your join message!","voir quels paramètres spéciaux vous pouvez utiliser dans vos messages d'arrivée!"
"joinmessage.arguments.set","","set","set"
"joinmessage.arguments.set.readable","","set [message]","set [message]"
"joinmessage.arguments.set.description","","set the join message.","régler le message d'arrivée."
"joinmessage.arguments.removechannel","","remove channel","retirer le channel"
"joinmessage.arguments.removechannel.description","","remove the set join message channel","remove the set join message channel"
"joinmessage.arguments.view","","view","view"
"joinmessage.arguments.view.description","","view the current message parameters","view the current message parameters"
"joinmessage.arguments.remove","","remove message","remove message"
"joinmessage.arguments.remove.description","","remove the set join message","remove the set join message"
"joinmessage.arguments.channel","","channel","channel"
"joinmessage.arguments.channel.readable","","channel [mentioned channel or name]","channel [mentioned channel or name]"
"joinmessage.arguments.channel.description","","set the channel where you want join messages to be sent","set the channel where you want join messages to be sent"
"musiclibrary.arguments.view","","view","view"
"musiclibrary.arguments.view.description","","view your music library","view your music library"
"musiclibrary.arguments.play","","play","play"
"musiclibrary.arguments.play.description","","play tracks from your library","play tracks from your library"
"musiclibrary.arguments.add","","add","add"
"musiclibrary.arguments.add.readable","","add [song name or url]","add [song name or url]"
"musiclibrary.arguments.add.description","","add a song to your music library","add a song to your music library"
"musiclibrary.arguments.remove","","remove","remove"
"musiclibrary.arguments.remove.description","","remove songs from your library","remove songs from your library"
"musiclibrary.arguments.reset","","reset","reset"
"musiclibrary.arguments.reset.description","","remove all existing tracks in your music library (start from scratch)","remove all existing tracks in your music library (start from scratch)"
"musiclibrary.arguments.import","","import","import"
"musiclibrary.arguments.import.description","","import your Spotify song library","import your Spotify song library"
"playlist.arguments.play","","play","play"
"playlist.arguments.play.readable","","play [playlist id]","play [playlist id]"
"playlist.arguments.play.description","","start playback of a playlist","start playback of a playlist"
"playlist.arguments.list","","list","list"
"playlist.arguments.list.readable","","list @User","list @User"
"playlist.arguments.list.description","","list a user's playlists","list a user's playlists"
"playlist.arguments.view","","view","view"
"playlist.arguments.view.readable","","view [playlist id]","view [playlist id]"
"playlist.arguments.view.description","","get an overview of the specified playlist","get an overview of the specified playlist"
"playlist.arguments.delete","","delete","delete"
"playlist.arguments.delete.readable","","delete [playlist id]","delete [playlist id]"
"playlist.arguments.delete.description","","delete a playlist","delete a playlist"
"playlist.arguments.create","","create","create"
"playlist.arguments.create.description","","create a new playlist","créer une nouvelle playlist"
"roll.flags.sides.accepted","","side count","side count"
"roll.flags.sides.description","","set the amount of sides the rolled die should have (default 6)","choisir le nombre de faces que le dés aura (6 par défaut)"
"roll.flags.number.accepted","","# of times to roll","# de lancés"
"roll.flags.number.description","","set how many times you'd like to roll the die","choisir combien de fois vous voulez lancer le dé"
"roll.flags.default.description","","use default settings (6-sided die, 1 roll)","utiliser les paramètres par défaut (dés à 6 faces, 1 lancé)"
"random.flags.number.accepted","","number","number"
"random.flags.number.description","","select a random number between 1 and the specified number","tir un nombre aléatoire entre 1 et le nombre spécifié"
"random.flags.options.accepted","","**quote-separated list of options**. e.g. /random -options ""one"" ""two""","**quote-separated list of options**. e.g. /random -options ""one"" ""two"""
"random.flags.options.description","","select a random option given a list","select a random option given a list"
"online.flags.type.accepted","","status type","status type"
"online.flags.type.description","","specify a status to filter by - only available for /online server - view all types with /online types","specify a status to filter by - only available for /online server - view all types with /online types"
"online.flags.role.accepted","","role name","nom du rôle"
"online.flags.role.description","","filter by role - only available with /online server!","filter by role - only available with /online server!"
"mute.flags.reason.accepted","","mute reason","raison du mute"
"mute.flags.reason.description","","optionally specify a reason for the mute","préciser optionnellement une raison de mute"
"clear.flags.user.accepted",""," @User"," @User"
"clear.flags.user.description","","clear messages from a specific user","supprimer les messages d'un utilisateur spécifique"
"clear.flags.number.accepted","","# of messages to delete (2-100)","# de messages à supprimer (2-100)"
"clear.flags.number.description","","specify an amount of messages to clear (default 10)","spécifier le nombre de messages à supprimer (10 par défaut)"
"clear.flags.channel.accepted","","channel mention (#channel)","channel mention (#channel)"
"clear.flags.channel.description","","clear messages in a specific channel","supprimer les messages d'un channel spécifique"
"clear.flags.default.description","","clear the last 10 messages in the current channel","supprimer les 10 derniers messages du channel courant"
"name","a user's name. for use in subcommands (one word)","name","nom"
"profile.from","from heading - profile","from","from"
"spotify","","spotify","spotify"
"language","for use in profiles. One word","",""
"languages","for use in profiles. One word","",""
"whois.description","","Learn about other users","Learn about other users"
"ulog.description","","Audit a user's messages","Audit a user's messages"
"leavegame.description","","Leave a game in lobby","Leave a game in lobby"
"general.specify_channel","","You need to specify a valid channel name or mention","Vous devez spécifier un nom de channel valide ou le mentionner"
"general.specifyrole","","You need to specify a role!","Vous devez spécifier un rôle!"
"general.norolefound","","No role with that name was found","Aucun rôle trouvé avec ce nom"
"adminrole.updated","","Updated the admin role to []","Le rôle administrateur est maintenant []"
"adminrole.warning","","An administrator must update the roles of anyone with the previous admin role","Un administrateur doit mettre à jour les rôles de ceux qui ont le précédent rôle administrateur"
"adminrole.removed","","Removed the admin role","Supprimer le rôle administrateur"
"adminrole.adminrole","","Admin Role","Rôle administrateur"
"adminrole.current","","The current admin role is: **[]**","Le rôle administrateur actuel est : **[]**"
"adminrole.userswithcurrent","","Currently, these are the users with the admin role: []","Actuellement, les administrateurs sont : []"
"getid.response","","The Discord id of **[]** is: **[]**","L'id Discord de **[]** est : **[]**"
"getid.default","","Your Discord id is **[]**. Get a role, channel, or user's id by mentioning it!","Your Discord id is **[]**. Get a role, channel, or user's id by mentioning it!"
"help.nocommandwithname","","I couldn't find a command with the name **[]**","I couldn't find a command with the name **[]**"
"help.moduleisdisabled","","Your server administrators have chosen to disable the **[]** module in Ardent","Your server administrators have chosen to disable the **[]** module in Ardent"
"help.module_help","","Module Help","Module Help"
"help.command_list","","Commands","Commands"
"help.no_description_available","","no description available for this command","no description available for this command"
"help.command_aliases","","aliases: []","aliases: []"
"help.no_module_with_name","","I couldn't find a module by that name","I couldn't find a module by that name"
"help.embed_title","","Ardent | Command Overview","Ardent | Command Overview"
"help.whats_new","","To learn what's *changed*, *been improved* and what **flags** and **arguments** are, type _ardent 2018_","To learn what's *changed*, *been improved* and what **flags** and **arguments** are, type _ardent 2018_"
"help.modules","","Modules","Modules"
"help.gethelp","","To get help on a specific command, type _/help **command**_.","To get help on a specific command, type _/help **command**_."
"help.see_module","","To see a module's commands, type _/help -m **module**_","To see a module's commands, type _/help -m **module**_"
"online.embed_title","","Discord Status Types | Ardent","Discord Status Types | Ardent"
"online.types","","**Name** | **Flag argument**","**Name** | **Flag argument**"
"online.type_online","","Online: *[]*","Online: *[]*"
"online.type_offline","","Offline: *[]*","Offline: *[]*"
"online.type_dnd","","Do Not Disturb: *[]*","Do Not Disturb: *[]*"
"online.type_idle","","Idle: *[]*","Idle: *[]*"
"online.type_unknown","","Unknown: *[]*","Unknown: *[]*"
"online.status_info","","Status Information | []","Status Information | []"
"online.current_status","First argument: status. Second: time with that status","**Current Status**: *[]*, for *[]*","**Current Status**: *[]*, for *[]*"
"online.previous_status","First argument: status. Second: time with that status","**Previous Status**: *[]*, for *[]*","**Previous Status**: *[]*, for *[]*"
"online.total_tracked_time","","Total tracked time: **[]**","Total tracked time: **[]**"
"online.aware_info","","I'm aware of []'s last **[]** status updates","I'm aware of []'s last **[]** status updates"
"online.online_str","","Online","Online"
"online.dnd_str","","Do Not Disturb","Do Not Disturb"
"online.idle_str","","Idle","Idle"
"online.offline_str","","Offline","Offline"
"general.members","Used whenever we need to add the word member onto the end of a string","members","members"
"online.admins_status_title","","Admins' Online Status | []","Admins' Online Status | []"
"online.see_member_stats","","See a specific member's online statistics with */online stats @User*","See a specific member's online statistics with */online stats @User*"
"online.admins_count","Appended after the number of admins with a certain status","admins have this status","admins have this status"
"online.status_embed","","Online Status | []","Online Status | []"
"general.need_to_mention_role","","You need to mention or enter the name of a role!","You need to mention or enter the name of a role!"
"roleinfo.embed_title","","[] | Role Info","[] | Role Info"
"roleinfo.num_with_role","","# with role","# with role"
"roleinfo.id","","Role ID","Role ID"
"roleinfo.creation","","Creation Date","Creation Date"
"roleinfo.permissions","","Permissions","Permissions"
"serverinfo.embed_title","","[] | Server Info","[] | Server Info"
"serverinfo.num_members","","Number of members","Number of members"
"serverinfo.online","","Online users","Online users"
"general.prefixes","","Prefixes","Prefixes"
"serverinfo.admin_role","","Admin Role","Admin Role"
"serverinfo.owner","","Owner","Owner"
"serverinfo.creation","","Creation Date","Creation Date"
"serverinfo.num_voice","","# of Voice Channels","# of Voice Channels"
"serverinfo.num_text","","# of Text Channels","# of Text Channels"
"serverinfo.num_roles","","# of Roles","# of Roles"
"serverinfo.region","","Region","Region"
"serverinfo.verification_level","","Verification Level","Verification Level"
"general.none","","None","None"
"general.not_set","","Not set!","Not set!"
"userinfo.too_broad","","10 or more users containing this query were found. Please be more specific or tag them","10 or more users containing this query were found. Please be more specific or tag them"
"userinfo.select_user","","Select which user you want","Select which user you want"
"general.specify_or_mention_user","","You need to specify the name of a user or mention them","You need to specify the name of a user or mention them"
"userinfo.embed_title","","[] | User Information","[] | User Information"
"userinfo.name","","Name","Name"
"userinfo.nickname","","Nickname","Nickname"
"userinfo.status","","Status","Status"
"userinfo.join_date","","Server Join Date","Server Join Date"
"userinfo.days_in_guild","","Days in Server","Days in Server"
"general.roles","","Roles","Roles"
"userinfo.account_creation_date","","Account Creation Date","Account Creation Date"
"ulog.generating","","Generating a user message log in the channels you both have access to.. check for a private message in a few seconds","Generating a user message log in the channels you both have access to.. check for a private message in a few seconds"
"ulog.generated_dump","","Generated a dump of all found messages at [].","Generated a dump of all found messages at []."
"ulog.warning","","Be careful when sharing this link. You only have access to a log in the channels you share access to with the user, but anyone can see this log if you share it.","Be careful when sharing this link. You only have access to a log in the channels you share access to with the user, but anyone can see this log if you share it."
"daily.collect","","You collected $[]!","You collected $[]!"
"daily.use_later","","You'll be able to use this again at []","You'll be able to use this again at []"
"marriage.not_married","","You're not married!","You're not married!"
"divorce.confirm","divorce.confirm
","Are you sure you want to divorce that person? If you do, there's a 50% chance that 50% of your assets will be transferred to your ex. Type `yes` to confirm or `no` to cancel.","Are you sure you want to divorce that person? If you do, there's a 50% chance that 50% of your assets will be transferred to your ex. Type `yes` to confirm or `no` to cancel."
"yes","represents yes in responses","yes","yes"
"no","respresents no in responses","no","no"
"divorce.now_single","","You're now single.","You're now single."
"divorce.asset_transfer","","Unlucky! Half of your assets were transferred to your ex.","Unlucky! Half of your assets were transferred to your ex."
"canceling","","Canceling..","Canceling.."
"marry.rejected","","Ouch.. [] rejected you","Ouch.. [] rejected you"
"marry.now_married","","Congrats! You're now married","Congrats! You're now married"
